timestamp,can_id,rtr,dlc,d0,d1,d2,d3,d4,d5,d6,d7,label,attack_type,inter_arrival_time,packet_rate,rolling_rate,elapsed_time,time_bucket,payload_sum,payload_mean,payload_std,payload_variance,payload_max,payload_min,payload_range,zero_byte_count,non_zero_byte_count,payload_entropy,canid_freq,canid_normalise,isnew_can_id,can_id_changed,rolling_can_frequency,same_can_as_pvr,payload_changed,payload_hamming_distance,same_payload_as_previous,consecutive_same_can_count,rolling_payload_mean,rolling_payload_std,rolling_payload_max,rolling_payload_min,rolling_entropy
1479121434.850202,848,0,8,5,40,132,102,109,0,0,162,0,normal,0.0,1000000.0,1000000.0,0.0,0,550,68.75,65.20900463673928,4252.214285714285,162,0,162,2,6,2.75,512,0.0512,1,0,1.0,0,0,0,0,1,68.75,65.20900463673928,162.0,0.0,2.75
1479121434.850423,704,0,8,20,0,0,0,0,0,0,0,0,normal,0.00022101402282714844,4504.219991448745,502252.1099957244,0.00022101402282714844,0,20,2.5,7.0710678118654755,50.0,20,0,20,7,1,0.5435644431995964,513,0.0513,1,1,1.0,0,1,6,0,1,35.625,36.14003622430238,162.0,0.0,1.6467822215997983
1479121434.850977,1072,0,8,0,0,0,0,0,0,0,0,0,normal,0.0005538463592529297,1802.300733028951,335435.50690815924,0.0007748603820800781,0,0,0.0,0.0,0.0,0,0,0,8,0,-0.0,256,0.0256,1,1,1.0,0,1,1,0,1,23.75,24.093357482868253,162.0,0.0,1.0978548143998654
1479121434.851215,1201,0,8,0,0,0,0,0,0,0,0,0,normal,0.00023794174194335938,4185.120573185776,252622.91032441586,0.0010128021240234375,0,0,0.0,0.0,0.0,0,0,0,8,0,-0.0,256,0.0256,1,1,1.0,0,0,0,1,1,17.8125,18.07001811215119,162.0,0.0,0.8233911107998991
1479121434.851463,497,0,8,0,0,0,0,0,0,0,0,0,normal,0.00024819374084472656,4012.941884535949,202900.91663643988,0.001260995864868164,0,0,0.0,0.0,0.0,0,0,0,8,0,-0.0,256,0.0256,1,1,1.0,0,0,0,1,1,14.25,14.456014489720951,162.0,0.0,0.6587128886399193
1479121434.851711,339,0,8,0,0,0,255,0,255,0,0,0,normal,0.000247955322265625,4016.784983343483,169753.56136092384,0.001508951187133789,0,510,63.75,118.0420627210003,13933.92857142857,255,0,255,6,2,0.8112781244591328,512,0.0512,1,1,1.0,0,1,2,0,1,22.5,31.720355861600847,255.0,0.0,0.6841404279431216
1479121434.851963,2,0,8,0,0,0,0,0,0,0,10,0,normal,0.00025200843811035156,3952.4373474209674,146067.68650185197,0.0017609596252441406,0,10,1.25,3.5355339059327378,12.5,10,0,10,7,1,0.5435644431995964,512,0.0512,1,1,1.0,0,1,3,0,1,19.464285714285715,27.693952725076826,255.0,0.0,0.6640581444083322
1479121434.852202,399,0,8,254,54,0,0,0,60,0,0,0,normal,0.00023889541625976562,4168.483148161411,128330.28608264065,0.0019998550415039062,0,368,46.0,87.91554388811376,7729.142857142857,254,0,254,5,3,1.5487949406953985,513,0.0513,1,1,1.0,0,1,4,0,1,22.78125,35.22165162045644,255.0,0.0,0.7746502439442156
1479121434.852443,304,0,8,3,128,0,255,33,128,0,157,0,normal,0.0002410411834716797,4131.528302979919,114530.4241071228,0.002240896224975586,0,704,88.0,93.79917757787493,8798.285714285714,255,0,255,2,6,2.5,512,0.0512,1,1,1.0,0,1,6,0,1,30.02777777777778,41.730265615725166,255.0,0.0,0.9663557723948583
1479121434.852687,305,0,8,0,128,0,0,45,127,0,151,0,normal,0.00024390220642089844,4083.262517779693,103485.70794818849,0.0024847984313964844,0,451,56.375,67.52129293785775,4559.125,151,0,151,4,4,2.0,512,0.0512,1,1,1.0,0,1,5,0,1,32.6625,44.309368347938424,255.0,0.0,1.0697201951553725
