timestamp,can_id,rtr,dlc,d0,d1,d2,d3,d4,d5,d6,d7,label,attack_type
1478201209.030284,880,0,8,0,32,0,0,0,0,0,0,0,normal
1478201209.030522,1087,0,8,0,64,96,255,126,133,9,0,0,normal
1478201209.030762,1088,0,8,255,0,0,0,255,133,9,0,0,normal
1478201209.030901,1520,0,2,1,0,0,0,0,0,0,0,0,normal
1478201209.031674,2,0,8,0,0,0,0,0,1,7,21,0,normal
1478201209.031912,339,0,8,0,33,16,255,0,255,0,0,0,normal
1478201209.032922,304,0,8,24,128,0,255,21,128,7,108,0,normal
1478201209.033166,305,0,8,0,128,0,0,49,127,7,214,0,normal
1478201209.033408,320,0,8,0,0,0,0,18,37,39,209,0,normal
1478201209.033644,848,0,8,5,32,84,104,117,0,0,108,0,normal
1478201209.036311,1264,0,8,0,0,0,128,0,105,209,19,0,normal
1478201209.037689,790,0,8,5,34,28,10,34,30,0,111,0,normal
1478201209.037925,399,0,8,254,89,0,0,0,65,0,0,0,normal
1478201209.038158,608,0,8,24,34,34,48,8,143,112,55,0,normal
1478201209.03839,672,0,8,100,0,154,29,151,2,189,0,0,normal
1478201209.038622,809,0,8,134,183,127,20,17,32,0,20,0,normal
1478201209.038866,1349,0,8,216,0,0,136,0,0,0,0,0,normal
1478201209.040031,704,0,8,20,0,0,0,0,0,0,0,0,normal
1478201209.040281,880,0,8,0,32,0,0,0,0,0,0,0,normal
1478201209.040526,1087,0,8,0,64,96,255,126,134,9,0,0,normal
1478201209.040768,1088,0,8,255,0,0,0,255,134,9,0,0,normal
1478201209.041699,1072,0,8,0,0,0,0,0,0,0,0,0,normal
1478201209.04193,1201,0,8,41,39,39,35,0,0,0,154,0,normal
1478201209.042178,497,0,8,8,0,0,0,0,0,0,0,0,normal
1478201209.042416,339,0,8,0,33,16,255,0,255,0,0,0,normal
1478201209.042662,2,0,8,0,0,0,0,0,1,8,174,0,normal
1478201209.043137,848,0,8,5,32,100,104,117,0,0,92,0,normal
1478201209.043922,304,0,8,22,128,0,255,14,128,8,78,0,normal
1478201209.044154,305,0,8,247,127,0,0,62,127,8,197,0,normal
1478201209.044393,320,0,8,0,0,0,0,20,33,40,66,0,normal
1478201209.047921,790,0,8,5,34,48,10,34,30,0,111,0,normal
1478201209.048157,399,0,8,254,89,0,0,0,65,0,0,0,normal
1478201209.04839,608,0,8,24,34,34,48,8,143,111,4,0,normal
1478201209.048626,672,0,8,4,0,154,29,151,2,189,0,0,normal
1478201209.048859,809,0,8,220,183,127,20,17,32,0,20,0,normal
1478201209.049097,1349,0,8,216,90,0,137,0,0,0,0,0,normal
1478201209.050025,704,0,8,20,0,0,0,0,0,0,0,0,normal
1478201209.050274,880,0,8,0,32,0,0,0,0,0,0,0,normal
1478201209.050517,1087,0,8,0,64,96,255,126,134,9,0,0,normal
1478201209.05076,1088,0,8,255,0,0,0,255,134,9,0,0,normal
1478201209.051684,2,0,8,0,0,0,0,0,1,9,179,0,normal
1478201209.051921,339,0,8,0,33,16,255,0,255,0,0,0,normal
1478201209.052912,304,0,8,19,128,0,255,248,127,9,171,0,normal
1478201209.053147,305,0,8,247,127,0,0,83,127,9,13,0,normal
1478201209.053388,320,0,8,0,0,0,0,22,0,41,101,0,normal
1478201209.053622,848,0,8,5,32,116,104,117,0,0,76,0,normal
1478201209.056291,1264,0,8,0,0,0,128,0,105,209,19,0,normal
1478201209.057782,790,0,8,5,33,48,10,33,30,0,111,0,normal
1478201209.058007,399,0,8,254,89,0,0,0,65,0,0,0,normal
1478201209.058237,608,0,8,24,33,33,48,8,143,109,25,0,normal
1478201209.058471,672,0,8,36,0,154,29,151,2,189,0,0,normal
1478201209.058703,809,0,8,220,183,127,20,17,32,0,20,0,normal
1478201209.058944,1349,0,8,216,0,0,139,0,0,0,0,0,normal
