timestamp,can_id,rtr,dlc,d0,d1,d2,d3,d4,d5,d6,d7,label,attack_type,inter_arrival_time,packet_rate,rolling_rate,elapsed_time,time_bucket,payload_sum,payload_mean,payload_std,payload_variance,payload_max,payload_min,payload_range,zero_byte_count,non_zero_byte_count,payload_entropy,canid_freq,canid_normalise,isnew_can_id,can_id_changed,rolling_can_frequency,same_can_as_pvr,payload_changed,payload_hamming_distance,same_payload_as_previous,consecutive_same_can_count,rolling_payload_mean,rolling_payload_std,rolling_payload_max,rolling_payload_min,rolling_entropy
1478191030.045114,790,0,8,5,34,104,9,34,32,0,117,0,normal,0.0,1000000.0,1000000.0,0.0,0,335.0,41.875,41.71162158200038,1739.859375,117.0,0.0,117.0,1,7,2.75,1,1.0,1,0,1.0,0,0,0,0,1,41.875,41.71162158200038,117.0,0.0,2.75
1478191030.045353,399,0,8,254,59,0,0,0,60,0,0,0,normal,0.00023889541625976562,4168.483148161411,502084.2415740807,0.00023889541625976562,0,373.0,46.625,82.3148490553193,6775.734375,254.0,0.0,254.0,5,3,1.5487949406953985,1,0.5,1,1,1.0,0,1,7,0,1,44.25,62.01323531865984,254.0,0.0,2.149397470347699
1478191030.04558,608,0,8,25,34,34,48,255,143,110,63,0,normal,0.0002269744873046875,4386.455746969185,336184.9796317102,0.0004658699035644531,0,712.0,89.0,73.66817494685205,5427.0,255.0,25.0,230.0,0,8,2.75,1,0.3333333333333333,1,1,1.0,0,1,8,0,1,59.166666666666664,65.8982151947239,255.0,0.0,2.349598313565133
1478191030.045815,672,0,8,96,0,131,29,150,2,189,0,0,normal,0.00023508071899414062,4235.839353000359,253197.69456203273,0.0007009506225585938,0,597.0,74.625,71.49464577854764,5111.484375,189.0,0.0,189.0,2,6,2.75,1,0.25,1,1,1.0,0,1,8,0,1,63.03125,67.29732284067984,255.0,0.0,2.4496987351738495
1478191030.046043,809,0,8,220,184,126,20,17,32,0,20,0,normal,0.00022792816162109375,4368.182546519251,203431.79215893004,0.0009288787841796875,0,619.0,77.375,80.89335185909903,6543.734375,220.0,0.0,220.0,1,7,2.75,1,0.2,1,1,1.0,0,1,8,0,1,65.9,70.01652864436367,255.0,0.0,2.5097589881390796
1478191030.046288,1349,0,8,216,0,0,131,0,0,0,0,0,normal,0.00024509429931640625,4063.482993217525,170203.7406313113,0.0011739730834960938,0,347.0,43.375,78.07518411761832,6095.734375,216.0,0.0,216.0,6,2,1.061278124459133,1,0.16666666666666666,1,1,1.0,0,1,7,0,1,62.145833333333336,71.35963788990612,255.0,0.0,2.2683455108590884
1478191030.048193,704,0,8,21,0,0,0,0,0,0,0,0,normal,0.0019049644470214844,524.6687584140062,145963.8732208974,0.003078937530517578,0,21.0,2.625,6.9450971915445505,48.234375,21.0,0.0,21.0,7,1,0.5435644431995964,1,0.14285714285714285,1,1,1.0,0,1,2,0,1,53.642857142857146,62.15756064728304,255.0,0.0,2.0219482154791613
1478191030.050885,2,0,8,0,0,0,0,0,7,9,6,0,normal,0.002691984176635742,371.33526764693715,127764.80597674109,0.00577092170715332,0,22.0,2.75,3.6314597615834874,13.1875,9.0,0.0,9.0,5,3,1.5487949406953985,1,0.125,1,1,1.0,0,1,4,0,1,47.28125,54.841798036570594,255.0,0.0,1.9628040561311908
1478191030.051119,339,0,8,0,33,16,255,0,255,0,0,0,normal,0.00023412704467773438,4253.01989981885,114041.27419041638,0.006005048751831055,0,559.0,69.875,107.43304601006155,11541.859375,255.0,0.0,255.0,4,4,1.75,1,0.1111111111111111,1,1,1.0,0,1,6,0,1,49.791666666666664,60.68527003362514,255.0,0.0,1.9391591610055028
1478191030.051806,304,0,8,3,128,0,255,46,128,9,238,0,normal,0.0006868839263916016,1453.7336338786838,102782.52013476261,0.006691932678222656,0,807.0,100.875,96.97736527149003,9404.609375,255.0,0.0,255.0,1,7,2.75,1,0.1,1,1,1.0,0,1,7,0,1,54.9,64.31447955741163,255.0,0.0,2.0202432449049526
